username,orig_sentence,cleaned_sentence,category,sub-category
tweets_sakshigulati123,"#KanganaRanaut  furious at the team of '#Brahmastra ', said Pappu like #AyanMukerji  has not seen yet. who wasted ""Cost"" 600 crores. ""Hindu Gods""
#AliaBhatt #Janaspandana 
#BoycottBrahamstra #KapilExposesKejriwal https://t.co/lnh26tr0ET",furious team say pappu like not see yet waste cost 600 crore hindu god,negative,criticism
tweets_Rajen_Bansal,"This pic shows a completely shameless Kejriwal and other AAP members laughing and ridiculing the proposal to grant tax-free status to The Kashmir Files' in Delhi. He also termed the film which featured the Hindu genocide in Kashmir, as 'fake'. SHAMELESS!!!

#KapilExposesKejriwal https://t.co/1XvZLZkhoE",pic show completely shameless kejriwal aap member laugh ridicule proposal grant taxfree status kashmir file delhi also term film feature hindu genocide kashmir fake shameless,negative,criticism
tweets_shubh_ind,"Do watch and share Kapil Mishra's expos??. BIG REVELATION.

I hope police investigates this.

#KapilExposesKejriwal https://t.co/Jk8IubEwKm",watch share kapil mishras expo big revelation hope police investigates,negative,
tweets_FalanaDikhana,"A chameleon from Delhi is roaming on the land of the lions of Gir.????
#KapilExposesKejriwal
#TejRan 
#Janaspandana
#�?��??�??�?�?_�??�??�??_�?�??�??�??����?��??�??
#BJPBrashtotsava https://t.co/MmEcMDPoNE",chameleon delhi roam land lion gir,negative,
tweets_HSPBJPOFFICIAL,"Gujarat model means country's most beautiful river front and Delhi model means country's most polluted river.......
#KapilExposesKejriwal",gujarat model mean countrys beautiful river front delhi model mean countrys pollute river,negative,criticism
tweets_HSPBJPOFFICIAL,"Kejriwal government is not doing anything for the development of Delhi. So we should not tolerate this behaviour like this doing by Delhi government .
#KapilExposesKejriwal",kejriwal government not anything development delhi not tolerate behaviour like delhi government,negative,criticism
tweets_RajeshParikh11,"#KapilExposesKejriwal
Delhi model founded with betrayal of Anna is the biggest edifice of Momin Appeasement.
All parties other than BJP have no delegated option to appeasement, where AAP tops the chart https://t.co/NtilTGBgfE",delhi model found betrayal anna big edifice momin appeasement party bjp delegate option appeasement aap top chart,negative,criticism
tweets_Ajayencounters,Politics is leading to endless tragedy ??��#KapilExposesKejriwal,politics lead endless tragedy,negative,criticism
tweets_HSPBJPOFFICIAL,"Look how FRAUD Kejriwal is making a fool of public by pretending to be ""Aam Aadmi"" but Actually he is Khaas VIP Aadmi 

#KapilExposesKejriwal",look fraud kejriwal make fool public pretend aam aadmi actually khaas vip aadmi,negative,criticism
tweets_HarveyS95682467,KEJRIWAL EXPOSED.... Every true indian and true Hindu should share this Maximum... Let's save our country from vermins who are destroying it #KapilExposesKejriwal ... #Gujarat https://t.co/Glk8OJ2Lkf,kejriwal expose every true indian true hindu share maximum let save country vermin destroy,negative,criticism
tweets_HSPBJPOFFICIAL,"Rebdiwal is the new Covid Threat for Delhi ???�???�
#KapilExposesKejriwal",rebdiwal new covid threat delhi,negative,criticism
tweets_Aone_APC,@ChudasmaAnshu @kirangujju7 @KapilMishra_IND @TheYadavPrince @iSinghApurva @beingarun28 @CRPaatil @narendramodi @sanghaviharsh @Bambalal_BJP @ROMESHSHAH2 @Sunil_Deodhar @HarishKhuranna Kapil Mishra left AAP when Kejriwal was caught doing financial fraud i,kapil mishra leave aap kejriwal catch financial fraud,negative,criticism
tweets_SirAdityaSwarup,"It's not easy do Act like poor common man... 
#KapilExposesKejriwal https://t.co/oMDVvRVess",not easy act like poor common man,negative,
tweets_navyasin,"@KapilMishra_IND @panditmayank1 Kapil Mishra left AAP when Kejriwal was caught doing financial fraud in AAP.

Since then @KapilMishra_IND
bhai is continuously exposing him and his lies.
#KapilExposesKejriwal",kapil mishra leave aap kejriwal catch financial fraud aap since bhai continuously expose lie,negative,criticism
tweets_navyasin,"#KapilExposesKejriwal Gujarat model means country's most beautiful river front and Delhi model means country's most polluted river.......
@KapilMishra_IND @iSinghApurva",gujarat model mean countrys beautiful river front delhi model mean countrys pollute river,negative,criticism
tweets_NishantMaggu_,"There is no money to pay salaries to teachers and you say we will give employment - how many more false promises will the Kejriwal government make to the public?
Kejriwal only does politics of lies and misleads people... #KapilExposesKejriwal #aamaadmiparty #Kejriwal https://t.co/6v3qv4NXHh",money pay salaries teacher say give employment many false promise kejriwal government make public kejriwal politics lie misleads people,negative,criticism
tweets_ViratKo45357801,Rebdiwal is the new Covid Threat for Delhi ???�???� #KapilExposesKejriwal https://t.co/7JXnRQodxU,rebdiwal new covid threat delhi,negative,hate
tweets_SundipK61956453,"#KapilExposesKejriwal is an incessant effort to expose the hypocrisy and double standard of #ArvindKejriwal

Kejriwal is a con artist with an unscrupulous character.Such people in publiclife are dangerous

This video debunks his Aam admi &amp; honestly rhetoric

Pls introspect ???� https://t.co/7KDzJZB4AJ",incessant effort expose hypocrisy double standard kejriwal con artist unscrupulous charactersuch people publiclife dangerous video debunks aam admi honestly rhetoric pls introspect,negative,
tweets_jogiji_,"What do you have to say now, Mr. kejriwal  @KapilMishra_IND
#KapilExposesKejriwal https://t.co/fJOfMrOeNb",say mr kejriwal,negative,criticism
tweets_DilKhushAadmi,What a shame @ArvindKejriwal @AamAadmiParty #KapilExposesKejriwal https://t.co/vnXqllrfPs,shame,negative,criticism
tweets_Bharat_KiBeti,"According to Kejriwal ... the Delhi model means banning crackers on Diwali,
opening liquor shops in the street
increase the salary of Maulanas
Scams in the name of government schools...
This is just the Delhi model
#KapilExposesKejriwal 
#KejriwalFailsDelhi https://t.co/1vQFhkBl7v",accord kejriwal delhi model mean ban cracker diwali open liquor shop street increase salary maulanas scam name government school delhi model,negative,criticism
tweets_888Shivraj,Gujarat has the right to know who was given 10 lakh jobs in Delhi and in which department? According to RTI only 3246 jobs were given in Delhi in the country in the last 7 years #KapilExposesKejriwal,gujarat right know give 10 lakh job delhi department accord rti 3246 job give delhi country last 7 year,negative,criticism
tweets_arjuntiwaribjp,Rebdiwal is the new Covid Threat for Delhi ???�???�#KapilExposesKejriwal https://t.co/w8CsGLGbxd,rebdiwal new covid threat delhi,negative,criticism
tweets_mukeshparmar146,"A chameleon from Delhi is roaming on the land of the lions of Gir, today I have come to tell the truth about it: Kapil Mishra #KapilExposesKejriwal",chameleon delhi roam land lion gir today come tell truth kapil mishra,negative,criticism
tweets_BeingDevilMe,Ohh man this is such a good one it need to be exposed kejriwal is just doing wrong politics #KapilExposesKejriwal,ohh man good need expose kejriwal wrong politics,negative,criticism
tweets_Just_uand_me,"Kapil Mishra also alleged that the Aam Aadmi Party accumulated money through shell companies.

#KapilExposesKejriwal",kapil mishra also allege aam aadmi party accumulate money shell company,negative,criticism
tweets_show_me_dmoney,"The sacked AAP minister alleged that following notices from the Income Tax department, Arvind Kejriwal's AAP revealed Rs 30.08 crore in donations to the Election Commission.

#KapilExposesKejriwal",sack aap minister allege follow notice income tax department arvind kejriwals aap reveal r 3008 crore donation election commission,negative,
tweets_iArvindmaurya,"Kejriwal model means the world's most polluted city where Diwali is banned in the name of stopping pollution.
 #KapilExposesKejriwal",kejriwal model mean world pollute city diwali ban name stop pollution,negative,criticism
tweets_rebel7moon,"Nothing is being done for Delhi's growth by the Kejriwal party. Therefore, we should not stand by while Delhi's government acts in this manner. #KapilExposesKejriwal",nothing delhi growth kejriwal party therefore not stand delhis government act manner,negative,criticism
tweets_Riyasrivasta27,"Politics is not a game 
Nowadays
It's a serious bussiness
#KapilExposesKejriwal",politics not game nowadays serious bussiness,negative,criticism
tweets_Dhanes_sharma,"He is such a worst person This is really terrible to know that Kejriwal ji only made false promises that never full field
#KapilExposesKejriwal",bad person really terrible know kejriwal ji make false promise never full field,negative,hate
tweets_chavi06695457,"Really guys the so called CM Arvind Kejriwal is doing so dirty politics against our respected PM narendra modi ji guys!!!
#KapilExposesKejriwal",really guy call cm arvind kejriwal dirty politics respect pm narendra modi ji guy,negative,criticism
tweets_DiLseNeha,"I have full faith that the people of Gujarat will reject and show them that what you have done in Delhi is very wrong and you will not be able to do anything here and you will not be able to do anything here.
#KapilExposesKejriwal",full faith people gujarat reject show delhi wrong not able anything not able anything,negative,criticism
tweets_He__Saamy,"Today the condition of Delhi is not good at all and this condition is made by Kejriwal 
#KapilExposesKejriwal",today condition delhi not good condition make kejriwal,negative,criticism
tweets_Anjali_00001,"The people there are facing a lot of problems, from electricity to water, they have to stand in line for everything or that is really very embarrassing for the government there. 
#KapilExposesKejriwal",people face lot problem electricity water stand line everything really embarrassing government,negative,criticism
tweets_Shrav_YEAH,"This is really wrong.. people are very angry and their trust is broken... it's not acceptable 
#KapilExposesKejriwal",really wrong people angry trust break not acceptable,negative,criticism
tweets_Ss5432100,"Kejriwal and Company has been cheating public on new schools and new hospital but no have been visible 
#KapilExposesKejriwal",kejriwal company cheat public new school new hospital visible,negative,criticism
tweets_Quill011,"Kejriwal model means world's most polluted city where Diwali is banned in the name of stopping pollution. 
#KapilExposesKejriwal",kejriwal model mean world pollute city diwali ban name stop pollution,negative,criticism
tweets_ThakurShreyaSh4,"I dont want to say anything on this Kejriwal is a Liar politician people should stop believing him ..
.
#KapilExposesKejriwal",dont want say anything kejriwal liar politician people stop believe,negative,criticism
tweets_Neon100_,"Guys now the fake Arvind Kejriwal is exposed guys and he always blame to pm narendra modi guys!!!
#KapilExposesKejriwal",guy fake arvind kejriwal expose guy always blame pm narendra modi guy,negative,
tweets_Barsha768,"Now the public will not tolerate any more lies, now the public needs answers.
#KapilExposesKejriwal",public not tolerate lie public need answer,negative,criticism
tweets_Vikramsingh1440,"We explain to young children that do not take anything from anyone for free, the one who has come to give it for free has come with the intention of robbing something. 
#KapilExposesKejriwal",explain young child not take anything anyone free come give free come intention rob something,negative,criticism
tweets_revs5441,"Now the public is not going to fall in the trap of their free things and this is a very wrong thing. 

#KapilExposesKejriwal",public not go fall trap free thing wrong thing,negative,hate
tweets_Thevishal_01,"Gujarat model means country's most beautiful river front and Delhi model means country's most polluted river.......
 #KapilExposesKejriwal",gujarat model mean countrys beautiful river front delhi model mean countrys pollute river,negative,
tweets_mohit4tripathi,"Kejriwal getting exposed is the best thing
He is a fraud and makes fake promises
#KapilExposesKejriwal",kejriwal get expose best thing fraud make fake promise,negative,hate
tweets_chaimasalahun,"People are very happy to know this. Kejriwal should be shame on himself. 
#KapilExposesKejriwal",people happy know kejriwal shame,negative,
tweets_ChaserKohli_18,"Delhi govt always shows hypocrisy. They never talk about the real problem. So much double faced policy of Kejriwal. 
#KapilExposesKejriwal",delhi govt always show hypocrisy never talk real problem much double faced policy kejriwal,negative,criticism
tweets_Aarushi03535699,We have to raise our voice because Kejriwal is doing really very wrong work #KapilExposesKejriwal,raise voice kejriwal really wrong work,negative,criticism
tweets_Dharm817,"They have not done any questions or flotation to right, they should be ashamed of anything with the people there.#KapilExposesKejriwal",not question flotation right ashamed anything people,negative,criticism
tweets_shomi_popa,"Kejriwal is a kind of leader who can single handedly bring down nation to Venezuela &amp; Srilanka like crisis. 
Not a single work only hype nowdays bhagwant mann is also busy in doing advertising.
#KapilExposesKejriwal",kejriwal kind leader single handedly bring nation venezuela srilanka like crisis not single work hype nowdays bhagwant mann also busy advertising,negative,criticism
tweets_NiharikaDutt2,"Delhi government keeps blaming Gujarat for many things while they're not getting anything they were promised
#KapilExposesKejriwal",delhi government keep blame gujarat many thing theyre not get anything promise,negative,criticism
tweets_Derek__17,"The Kapil has completely exposed the kejriwal and his works 
#KapilExposesKejriwal",kapil completely expose kejriwal work,negative,
tweets_Steve_rogers25,"Whatever promises have been made by Kejriwal to his people, he should fulfill them, he should not lie like that.
#KapilExposesKejriwal",whatever promise make kejriwal people fulfill not lie like,negative,hate
tweets_memerpsych,"Really shameful act by the aam Aadmi party CM Mr Arvind Kejriwal guys really shame to him!!!
#KapilExposesKejriwal",really shameful act aam aadmi party cm mr arvind kejriwal guy really shame,negative,criticism
tweets_shaikayub1437,peoples emotional byKapil Mishra has once again exposed the trueLies are the only thing that are given by the kejriwal government because we can't see water  political doing fake promises which never get fulfill guys in my views #KapilExposesKejriwal,people emotional bykapil mishra expose truelies thing give kejriwal government cant see water political fake promise never get fulfill guy view,negative,criticism
tweets_Priti_00001,"Really, a lot of wrong has happened with the people there, the promises that cannot be fulfilled should not be made, the government has betrayed them. 
#KapilExposesKejriwal",really lot wrong happened people promise not fulfil not make government betray,negative,criticism
tweets_VoiceGuru9,"It shows a very shameful and lousy thinking with a vile mindset 
#KapilExposesKejriwal",show shameful lousy think vile mindset,negative,criticism
tweets_sharma20511,"People have come to know that Kejriwal only makes false promises and he has not done any development work.
#KapilExposesKejriwal",people come know kejriwal make false promise not development work,negative,criticism
tweets_aani_54,"The people of the country will not forgive Kejriwal, firstly the liquor scam in Delhi, now the teachers in the school are not even being paid.
#KapilExposesKejriwal",people country not forgive kejriwal firstly liquor scam delhi teacher school not even pay,negative,hate
tweets_iamShyam_32,"Kapil exposed kejriwal, public finally got to see the real face of him
#KapilExposesKejriwal",kapil expose kejriwal public finally get see real face,negative,hate
tweets_Sonakshi_here,"Now the AAP government is becoming the greatest corrupt party right now
#KapilExposesKejriwal",aap government become great corrupt party right,negative,criticism
tweets_bhag_saleidhrse,"Kejriwal and Kejriwal government only make promises. They don't do anything for us after forming the government.
#KapilExposesKejriwal",kejriwal kejriwal government make promise dont anything u forming government,negative,criticism
tweets_Singh_N_eha,#KapilExposesKejriwal The is really awesome the dark side of kejriwal,really awesome dark side kejriwal,negative,criticism
tweets_shyamRadhe008,"When we talk about development, w give examples about gujrat.
while Delhi government is doing corruption. #KapilExposesKejriwal",talk development w give example gujrat delhi government corruption,negative,criticism
tweets_1999indian,"Kapil Mishra 'exposes' Arvind Kejriwal: All you need to know about the charges against Aam Aadmi Party

#KapilExposesKejriwal",kapil mishra expose arvind kejriwal need know charge aam aadmi party,negative,hate
tweets_itsironyhere_,"These type of shameless act will not gonna be tolerated anymore guys by the shamefull Arvind Kejriwal guys!!!
#KapilExposesKejriwal",type shameless act not gon na tolerate anymore guys shamefull arvind kejriwal guy,negative,hate
tweets_tonystark03333,"In the name of free education all get only fake promises wow it's nice. 
#KapilExposesKejriwal",name free education get fake promise wow nice,negative,criticism
tweets_Supriya27637342,I am really very much sad by the work of Kejriwal and we have to do something #KapilExposesKejriwal,really much sad work kejriwal something,negative,criticism
tweets_Tarun5844,"It is very bad happening ,Everyone knows that Kejriwal government is not doing anything for the development of Delhi. A big shame on Kejriwal government #KapilExposesKejriwal",bad happen everyone know kejriwal government not anything development delhi big shame kejriwal government,negative,hate
tweets_DikhaSharma09,"We want safety of our family and a relief of riots but kejriwal don't giving us.
#KapilExposesKejriwal",want safety family relief riot kejriwal dont give u,negative,hate
tweets_Deekshith0011,"Didn't do anything for Delhi, just doing it, Kejriwal ji does not even pay the salary of his own leaders.. 

#KapilExposesKejriwal",didnt anything delhi kejriwal ji not even pay salary leader,negative,hate
tweets_Riyasrivas17,"There comes a time when one must take a position that is neither safe nor political nor popular, but he must take it becouse conscience tells him it is right
#KapilExposesKejriwal",come time must take position neither safe political popular must take becouse conscience tell right,negative,criticism
tweets_krishiv_6,is demanding that Kejriwal must reveal the source of funding of the foreign trips of five AAP leaders -#KapilExposesKejriwal,demand kejriwal must reveal source funding foreign trip five aap leader,negative,hate
tweets_Aamirs_Fauji,Everyone knows that Kejriwal government is not doing anything for the progress of Delhi. A big shame on Kejriwal government #KapilExposesKejriwal,everyone know kejriwal government not anything progress delhi big shame kejriwal government,negative,criticism
tweets_SRKian_Joshil,"Delhi don�??t deserve this government, they are making false promises #KapilExposesKejriwal",delhi dont deserve government make false promise,negative,criticism
tweets_Tanya_00002,"Has there really been a lot wrong with the people there, whatever promises were made to the people there are not fulfilled, people are very sad 
#KapilExposesKejriwal",really lot wrong people whatever promise make people not fulfil people sad,negative,criticism
tweets_lemarque_1,"In Gujarat every household will get tap water. Where in Delhi drinking water from tankers 
#KapilExposesKejriwal",gujarat every household get tap water delhi drinking water tanker,negative,criticism
tweets_Mohit3tripathi,"Kejriwal will never learn
He needs to get exposed
#KapilExposesKejriwal",kejriwal never learn need get expose,negative,hate
tweets_Singh_S_neha,Soo Shameful act again by kejriwal shame on you #KapilExposesKejriwal,soo shameful act kejriwal shame,negative,criticism
tweets_PariKittu1,"The public of Delhi always say kejariwal is doing nothing for the people
#KapilExposesKejriwal",public delhi always say kejariwal nothing people,negative,criticism
tweets_Hs_Princess_,"After levelling serious charges at the AAP, Kapil Mishra asked the Delhi Chief Minister to quit or ""he will drag him by the collar and take him to Tihar Jail"".

#KapilExposesKejriwal",level serious charge aap kapil mishra ask delhi chief minister quit drag collar take tihar jail,negative,hate
tweets_tan_weeeee,"Kejriwal government should improve their government strategy. That's really disgusting
#KapilExposesKejriwal",kejriwal government improve government strategy thats really disgust,negative,criticism
tweets_tweet_bharti_,"The truth of Kejriwal has come in front of everyone. Now people are not going to be foolish.
#KapilExposesKejriwal",truth kejriwal come front everyone people not go foolish,negative,hate
tweets_kaavyyaaa,"Lies are the only thing that are given by the kejriwal government because we can't see water supply getting better
#KapilExposesKejriwal",lie thing give kejriwal government cant see water supply get good,negative,criticism
tweets_singhjikiladki,Kejriwal government is not doing anything for the development of Delhi. We should remove Kejriwal government from Delhi because now we cannot tolerate it   #KapilExposesKejriwal,kejriwal government not anything development delhi remove kejriwal government delhi not tolerate,negative,hate
tweets_Shivamraj71,"We should take some action against him This is really terrible to know that Kejriwal ji only made false promises that never full field
#KapilExposesKejriwal",take action really terrible know kejriwal ji make false promise never full field,negative,criticism
tweets_MadhurrX,"@ArvindKejriwal Ji ab buri tarah se expose ho chuke Hein
#KapilExposesKejriwal",ji ab buri tarah se expose ho chuke hein,negative,hate
tweets_Satan_Lahsiv,"Guys Arvind Kejriwal is real disgust to the Delhi people guys he always blame others for every scams!!!
#KapilExposesKejriwal",guy arvind kejriwal real disgust delhi people guy always blame others every scam,negative,hate
tweets_ImDiivya,"Delhi does not need a leader like Kejriwal.  Delhi is fine.
#KapilExposesKejriwal",delhi not need leader like kejriwal delhi fine,negative,criticism
tweets_bitchshinu,This is really not good thing he should first work then oy do promises in other state guys  in my views #KapilExposesKejriwal,really not good thing first work oy promise state guy view,negative,hate
tweets_allufan66,"Hy tweeps look into this one guys it's seems that an Another day another person exposed him not at all good to see this one all are must take against this one 
#KapilExposesKejriwal",hy tweeps look guys seem another day another person expose not good see must take,negative,hate
tweets_SKF_Sunny,"Hey just must say that the unprofessional approech should be removed and We will not going to support him anymore. 

#KapilExposesKejriwal",hey must say unprofessional approech remove not go support anymore,negative,hate
tweets_Kanika730,"I dont want too much for your to say anything on this Kejriwal is a Liar politician.. Citizens should stop believing him ..
.
#KapilExposesKejriwal",dont want much say anything kejriwal liar politician citizens stop believing,negative,hate
tweets_MedhiTamanna,"Kejriwal have done so many bad work and he should be punished for this
#KapilExposesKejriwal",kejriwal many bad work punish,negative,hate
tweets_praveshdoor,"Kejriwal gang says love jihad doesn't happen.. Means Gufran Shahzad in Garba, Salim... are there plans to open the entry of Munavvar, Ahmed, Taimur in Dandiya? #KapilExposesKejriwal",kejriwal gang say love jihad doesnt happen mean gufran shahzad garba salim plan open entry munavvar ahmed taimur dandiya,negative,criticism
tweets_Gaurapandit000,The difference between Delhi and Gujarat model is that riots stopped in Gujarat from 2002 and riots started in Delhi from 2015 #KapilExposesKejriwal,difference delhi gujarat model riot stop gujarat 2002 riot start delhi 2015,negative,criticism
tweets_NeerajV78323698,"Gujarat model means country's most beautiful river front and Delhi model means country's most polluted river
 #KapilExposesKejriwal",gujarat model mean countrys beautiful river front delhi model mean countrys pollute river,negative,criticism
tweets__iamwhite07,"We all are standing against him for his shameful activities
You guys should need to praise the expose
#KapilExposesKejriwal",stand shameful activity guy need praise expose,negative,hate
tweets_SharmaB63342532,"When it's time to take strict action against someone kejriwal always hide 
#KapilExposesKejriwal",time take strict action someone kejriwal always hide,negative,criticism
tweets_junglee_ladka_,"Free Delhi, free services, promises to distribute money for free, the reality is that employees also stop getting salary in Delhi. Due to Astounding Kejriwal.
#KapilExposesKejriwal",free delhi free service promise distribute money free reality employee also stop get salary delhi due astound kejriwal,negative,criticism
tweets_Shrutimaheshwa0,"Kejriwal is the very bad person who only give promises but not do any good work in Delhi.
#KapilExposesKejriwal",kejriwal bad person give promise not good work delhi,negative,hate
tweets_Sankul05,He promised that he will give employment to Delhi youth but don't fulfill yet #KapilExposesKejriwal,promise give employment delhi youth dont fulfill yet,negative,criticism
tweets_Avi6362,"People will no longer fall under the guise of Kejriwal's false promises, now the public has understood.
#KapilExposesKejriwal",people longer fall guise kejriwals false promise public understood,negative,criticism
tweets_im_craziest123,"We all not accept this type of work
Aam Aadmi Party is adopting its treacherous policy in Gujarat by showing the dream of development by fooling the people of Delhi. 
#KapilExposesKejriwal",not accept type work aam aadmi party adopt treacherous policy gujarat show dream development fool people delhi,negative,criticism
tweets_Mohit2Tripathi,"They are always targeting pur nation in the name of opposing parties 
They have lost all sense 
#KapilExposesKejriwal",always target pur nation name oppose party lose sense,negative,criticism
tweets_Singhji_s2r2,"I haven't seen anyone who is having such kinda mentility.
#KapilExposesKejriwal",havent see anyone kinda mentility,negative,hate
tweets_rushali__,The Kejriwal is always being exposed in any scenario #KapilExposesKejriwal,kejriwal always expose scenario,negative,hate
tweets_Raydu97,"Kejriwal should be ashamed because he has fooled people by making false promises, neither opened any school nor any hospital.

#KapilExposesKejriwal",kejriwal ashamed fooled people make false promise neither open school hospital,negative,hate
tweets_RashiJh02711843,"#KapilExposesKejriwal
BJP leader Kapil Mishra on Tuesday shared an old video of Delhi chief minister Arvind Kejriwal and called him the ""biggest liar"" of Indian politics.",bjp leader kapil mishra tuesday share old video delhi chief minister arvind kejriwal call big liar indian politics,negative,hate
tweets_asishh_sonu,"Kejriwal government is not doing anything for the development of Delhi.
#KapilExposesKejriwal",kejriwal government not anything development delhi,negative,criticism
tweets_MohitChaui,"Iske bare me jeetna kha jaye km hai delivering expired salt at the time pandemic.
#KapilExposesKejriwal",iske bare jeetna kha jaye km hai deliver expire salt time pandemic,negative,criticism
tweets_Sowmyasri01,"Life of the Chief Minister of Delhi and Manish Sisodia ji deposited his right in his bag

#KapilExposesKejriwal",life chief minister delhi manish sisodia ji deposit right bag,negative,criticism
tweets_RJ13_se_hu_BC,"The people of Delhi are still dependent on tankers for water, Kejriwal had made false promises to him.
#KapilExposesKejriwal",people delhi still dependent tanker water kejriwal make false promise,negative,hate
tweets_AiraJoseph11119,"The Gujarat have more population then delhi how the kejriwal gives these facilities to us 
#KapilExposesKejriwal",gujarat population delhi kejriwal give facility u,negative,hate
tweets_Shriya01shinde,"Kejriwal is looting public of delhi in the name of development of school and infrastructure
#KapilExposesKejriwal",kejriwal loot public delhi name development school infrastructure,negative,hate
tweets__Arashi0205,"#KapilExposesKejriwal Destroy Nation by Destroying its Education

#1 No Fail Policy
#2 Pass everyone without knowledge
#3 Manufacture mob of un-employable youth
#4 Misguide same for protests &amp; anarchy",destroy nation destroy education fail policy pas everyone without knowledge manufacture mob unemployable youth misguide protest anarchy,negative,criticism
tweets_RrashmiSahu,"Kejriwal is fooling the people of Delhi by making fake claims about the development of neither new schools nor hospitals.
#KapilExposesKejriwal",kejriwal fool people delhi make fake claim development neither new school hospital,negative,hate
tweets_singh_vishii,"All of the people in Delhi are not getting enough good development work and welfare growth just because of kejriwal
#KapilExposesKejriwal",people delhi not get enough good development work welfare growth kejriwal,negative,hate
tweets_SwatiJh94959074,"Kapil Mishra has levelled charges of money laundering against the Aam Aadmi Party, and dared Arvind Kejriwal to quit as Delhi Chief Minister. 
#KapilExposesKejriwal",kapil mishra level charge money launder aam aadmi party dare arvind kejriwal quit delhi chief minister,negative,criticism
tweets_abhi817178,"Delhi minister Kapil Mishra today accused of India should I am the Arvind Kejriwal-led Aam Aadmi Party of running a 'donation scam'
#KapilExposesKejriwal",delhi minister kapil mishra today accuse india arvind kejriwalled aam aadmi party run donation scam,negative,criticism
tweets_Lakshya177,"Delhi CM Kejriwal fake model is exposed to public and how he faked people of Delhi 
#KapilExposesKejriwal",delhi cm kejriwal fake model expose public fake people delhi,negative,hate
tweets_crazy2001games,"Guys we are not gonna tolerate these kinds of fake political stunts by theso called aam Aadmi party CM Arvind Kejriwal guys!!!
#KapilExposesKejriwal",guy not gon na tolerate kind fake political stunt theso call aam aadmi party cm arvind kejriwal guy,negative,criticism
tweets_Priyanka_00001,"Their whole truth is about to come in front of the public, in fact they are doing so much wrong that the public is very unhappy with the people there. 
#KapilExposesKejriwal",whole truth come front public fact much wrong public unhappy people,negative,
tweets_Kishan2673,"This can't be tolerated This is really terrible to know that Kejriwal ji only made false promises that never full field
#KapilExposesKejriwal",cant tolerate really terrible know kejriwal ji make false promise never full field,negative,criticism
tweets_i_pooja2,"Every one of Delhi takes the problems of the people to the government and always tries to expose the government, has been opposing wrong policies, #KapilExposesKejriwal",every delhi take problem people government always try expose government oppose wrong policy,negative,criticism
tweets_deepBlue18_,"He is really a shameless leader who just make the people suffer because of his greediness
#KapilExposesKejriwal",really shameless leader make people suffer greediness,negative,hate
tweets_ram_aaj,"We all are shocked after hearing this and people can't support such people.
#KapilExposesKejriwal",shocked hearing people cant support people,negative,criticism
tweets_nilu400,"We are not focusing on the development of Delhi, but the target is not directly focusing on the development of Delhi, but the target is directly on Gujarat.
#KapilExposesKejriwal",not focus development delhi target not directly focus development delhi target directly gujarat,negative,criticism
tweets_Harsh_15__Singh,"He alleged that the Aam Aadmi Party concealed nearly Rs 36 crore in donations from the Election Commission. According to Kapil Mishra, the AAP reported Rs 19.82 crore on its donation website.
#KapilExposesKejriwal",allege aam aadmi party conceal nearly rs 36 crore donation election commission accord kapil mishra aap report rs 1982 crore donation website,negative,criticism
tweets_Mohit1tripathi,"Kejriwal never gives what he promises
It's better if he gets exposed. 
#KapilExposesKejriwal",kejriwal never give promise well get expose,negative,hate
tweets_blossom__18_,"Sacked Delhi minister Kapil Mishra today accused the Arvind Kejriwal-led Aam Aadmi Party of running a 'donation scam'.

#KapilExposesKejriwal",sack delhi minister kapil mishra today accuse arvind kejriwalled aam aadmi party run donation scam,negative,criticism
tweets_cool_boy_aslam,"This shows a lousy and despicable mentality and this is very bad thinking of Kejriwal.
#KapilExposesKejriwal",show lousy despicable mentality bad thinking kejriwal,negative,hate
tweets_RitikaT95653575,"We have seen that after 2002 we have seen and riots in gujrat but it's different in Delhi

#KapilExposesKejriwal",see 2002 see riot gujrat different delhi,negative,criticism
tweets_Anuj__Kshatriya,"Where are your promises that you made and which you used to promote everyday??
#KapilExposesKejriwal",promise make used promote everyday,negative,criticism
tweets_imSandeep6070,"I want to ask the mothers and sisters of Gujarat whether the person who gives one bottle free on a bottle wants the progress of your homes or waste? 
#KapilExposesKejriwal",want ask mother sister gujarat whether person give bottle free bottle want progress home waste,negative,
tweets_MaulikVadariya,They give salary to maulana and they do violence later on #KapilExposesKejriwal,give salary maulana violence later,negative,
tweets_Abhivji,"According to Kapil Mishra, all the work that Kejriwal has done is not right and he has not done any new work for the people in Delhi.
#KapilExposesKejriwal",accord kapil mishra work kejriwal not right not new work people delhi,negative,hate
tweets_RaniSingh7459,"Only doing fake promises in delhi by kejariwal people know the reality 
#KapilExposesKejriwal",fake promise delhi kejariwal people know reality,negative,criticism
tweets_mintyprabha,"Kapil Mishra says that the least government job has been given in Delhi according to a rati

#KapilExposesKejriwal",kapil mishra say least government job give delhi accord rati,negative,criticism
tweets_Grey017_,"We all should need to stand against his scam and fraudulent activities
This needs to be stopped
#KapilExposesKejriwal",need stand scam fraudulent activity need stop,negative,offencive
tweets_Vaibhavjiiiii,"Kejriwal has given only fake promises to people and spreaded hate politics like Shaheen Bagh 
#KapilExposesKejriwal",kejriwal give fake promise people spread hate politics like shaheen bagh,negative,hate
